Kanes Foods,,Evesham,,Fresh and chilled produce,"82,656,809"
Stovax,,Exeter,,Stoves,"17,478,802"
Devon Doctors,,Exeter,,Out of hours not-for-profit GP/Dental services,"20,854,710"
Scot Group,,Exeter,,Thrifty franchises,"60,166,000"
Redeem,,Falkirk,,Printer cartriges,"11,602,278"
Quindell,,Fareham,,Business software,"4,149,551"
H. Luckett & Co,,Fareham,,Coach holidays,"8,374,589"
Powerstax,,Farnborough,,Power conversion technology,"4,268,050"
Click Group,,Farnham,,Financial adviser,"11,828,770"
Tindle Press Holdings,,Farnham,,Newspaper group,"42,565,318"
Perform Group,,Feltham,,Sports digital broadcasting,"67,430,000"
Deep Sea Electronics,,Filey,,Generator controls,"18,319,931"
Lofthouse Of Fleetwood,,Fleetwood,,Fishermans' Friend,"36,353,451"
Balhousie Holdings,,Forfar,,Care home provider,"15,896,923"
Healthcare Homes,,Frinton-On-Sea,,Care provider,"7,487,607"
Gha Livigunn,,Frodsham,,Engineering consultancy,"7,265,166"
Hexadex,,Gainsborough,,Car exhausts technology,"79,000,000"
J. & W. Lowry,,Gateshead,,Construction and civil engineering works,"5,029,123"
Responsive Engineering Group,,Gateshead,,"Machining, cutting, assembly","11,185,826"
International Group,,Gerrards Cross,,Development and selling of real estate,"19,732,000"
Dextra Lighting,,Gillingham,,Commercial lighting,"45,720,105"
Scotcall,,Glasgow,,Door step debt collectors,"10,008,818"
Mono Global Group,,Glasgow,,Support services,"28,658,204"
Dawnfresh Holdings,,Glasgow,,Seafood,"50,461,638"
Barr & Wray,,Glasgow,,Design and build leisure swimming pools,"12,463,338"
Castle Precision Engineering,,Glasgow,,Precision components,"12,806,873"
Worldmark Uk,,Glasgow,,Labels/ID,"35,820,000"
Northcare (Scotland),,Glasgow,,Hospital activities,"8,320,575"
Chan'S,,Glasgow,,Chinese food wholesale,"10,048,132"
Severn Glocon Group,,Gloucester,,Process and control valves,"44,640,331"
Gloucester City Homes,,Gloucester,,Management of real estate,"21,353,000"
The Book People Limite,,Godalming,,Books retailer,"71,919,580"
Totemic,,Grantham,,Financial management,"24,420,273"
G.H. By Products (Derby),,Grantham,,Transport group,"7,373,733"
Bridal Fashions,,Grantham,,Wedding clothing,"7,618,094"
J. & H. Bunn,,Great Yarmouth,,Manufacture of fertilizers and nitrogen compounds,"141,566,170"
Timewell Properties,,Great Yarmouth,,Lodging,"8,795,191"
Sun Mark,,Greenford,,Food wholesaler,"82,501,314"
The White Company,,Greenford,,Online homewares,"101,993,196"
Dryband One,,Grimsby,,Care homes,"5,905,194"
M.H.J.,,Guildford,,Renting of construction or demolition equipment with operator,"21,320,852"
Snow & Rock Sports,,Guildford,,Outdoor wear,"57,347,000"
Hayley Group,,Halesowen,,Steel sections,"63,805,898"
Audio Network,,Halstead,,Publishing of sound recordings,"4,200,975"
Kilfrost Group,,Haltwhistle,,Supply of de-icing and anti-icing products,"44,802,000"
Joe Jennings Bookmakers,,Harlow,,Gambling and betting activities,"46,078,197"
Bluefin Insurance Services,,Harrogate,,Non-life insurance,"119,953,896"
Bettys & Taylors Of Harrogate,,Harrogate,,Tea/coffee,"102,783,000"
Contract Natural Gas,,Harrogate,,Distribution and trade of gaseous fuels,"41,643,192"
Houseman And Falshaw,,Harrogate,,General construction and civil engineering,"11,604,136"
Neoss,,Harrogate,,Dental implantology,"14,551,549"
Newlyn,,Harrow,,Debt collector,"9,263,211"
J. Coffey Construction,,Harrow,,General construction and civil engineering,"19,025,287"
Kelly Installations,,Harrow,,Special construction trades,"50,153,730"
Durbin,,Harrow,,Specialist medical suppliers,"48,328,277"
Mayday Healthcare,,Harrow,,Labour recruitment,"56,767,596"
Microlease,,Harrow,,IT leasing,"29,772,000"
Wensleydale Dairy Products,,Hawes,,Cheese,"21,536,511"
Original Additions,,Hayes,,Beauty accessories,"24,164,062"
Edwardian Group,,Hayes,,Radisson hotels chains,"134,765,000"
Fulcrum Pharma,,Hemel Hempstead,,Business and management consultancy activities,"16,760,000"
Profile Technology Services,,Hemel Hempstead,,Telecoms reseller,N/A
Courtiers Investment Services,,Henley-On-Thames,,Life insurance,"4,148,519"
The Apm Group,,High Wycombe,,Business and management consultancy activities,"23,968,098"
Dreams,,High Wycombe,,Bed retailer,"243,570,000"
John Graham Holdings,,Hillsborough,,General construction and civil engineering,"208,928,000"
National Refrigerants,,Hinckley,,Manufacture of chemicals,"19,868,361"
Motive Television,,Hitchin,,Radio and television activities,"3,307,048"
